id_practicante,fecha_ingreso,area_asignada,supervisor_asignado,estado_final,asistencia_pct,tardanzas_30d,inasistencias_injust_30d,entregables_asignados,entregables_a_tiempo,entregables_a_tiempo_pct,retrasos_entregables,eval_supervisor_promedio,incidencias_registradas,reuniones_asistidas_pct,tendencia_desempeno
PRACT_0046,2022-09-21,Marketing,Supervisor_7,0,0.9304523189151384,3,1,20,16,0.8050008225701185,4,5.0,1,0.8702631090506352,0
PRACT_0047,2023-06-14,Operaciones,Supervisor_6,0,0.9024859515915794,1,2,12,11,0.985760803999558,1,4.7,1,0.8685778659192113,0
PRACT_0048,2022-05-05,Marketing,Supervisor_1,0,0.9003914105735391,2,2,10,8,0.807497591373932,2,4.3,0,0.8653356207619025,1
PRACT_0049,2023-10-14,Finanzas,Supervisor_8,0,0.9227207677832004,3,0,6,5,0.9399117918903266,1,4.2,0,0.8485819343643299,1
PRACT_0050,2021-11-23,Operaciones,Supervisor_2,0,0.9406406286800996,1,1,11,10,0.9103558567451391,1,4.8,0,0.9217734189258466,0
PRACT_0051,2022-08-21,Finanzas,Supervisor_5,1,0.7979414085767211,10,4,19,7,0.4210103870895344,12,2.9,2,0.8601621274260269,-1
PRACT_0052,2023-10-12,Operaciones,Supervisor_9,0,0.9798484242930425,0,0,12,9,0.8099844971326758,3,5.0,0,0.8614164826166683,0
PRACT_0053,2021-10-16,RRHH,Supervisor_8,1,0.5935078419057964,14,5,11,6,0.5718980932340778,5,2.1,5,0.5746777189845649,-1
PRACT_0054,2022-08-16,Marketing,Supervisor_2,1,0.5855891550445047,7,1,14,8,0.6281674346559769,6,3.0,1,0.83543106654857,-1
PRACT_0055,2022-07-27,TI,Supervisor_9,0,0.9227322071070028,3,0,20,17,0.8928140570862474,3,3.7,0,0.9483566661779407,0
PRACT_0056,2024-10-09,Operaciones,Supervisor_5,1,0.6187330691851034,12,5,16,8,0.5255106730396022,8,1.9,1,0.8723348126239643,0
PRACT_0057,2021-01-28,Operaciones,Supervisor_10,0,0.9498198719561686,3,1,6,5,0.8563148571711061,1,3.6,1,0.833103947120982,0
PRACT_0058,2023-08-12,Finanzas,Supervisor_6,0,0.9438667772031576,3,2,20,18,0.9431352960245154,2,3.9,0,0.8288502628233183,0
PRACT_0059,2021-02-12,RRHH,Supervisor_3,0,0.9218273198781494,2,1,15,14,0.9398354862923146,1,4.7,1,0.9082858788609993,1
PRACT_0060,2022-02-27,Finanzas,Supervisor_3,0,0.9130451409943618,0,1,18,15,0.8762218652016566,3,4.8,1,0.922886730967019,1
PRACT_0061,2021-06-26,Finanzas,Supervisor_10,0,0.9012577812486195,3,1,16,15,0.9388794654959827,1,4.7,1,0.8960346883719179,1
PRACT_0062,2022-06-13,RRHH,Supervisor_8,0,0.9153963238666504,0,2,16,14,0.8963399676024683,2,4.4,0,0.9197933272647751,1
PRACT_0063,2023-08-24,TI,Supervisor_10,1,0.7468747295679414,14,3,5,2,0.43681313317905435,3,2.3,2,0.5721519075500285,-1
PRACT_0064,2021-07-17,Finanzas,Supervisor_10,0,0.9243638569345584,0,2,12,11,0.9642247252235449,1,4.6,0,0.8959227508328167,1
PRACT_0065,2022-09-02,Finanzas,Supervisor_2,0,0.946860181012151,0,1,12,11,0.9771047677506395,1,4.1,1,0.9316185121879336,0
PRACT_0066,2023-04-22,Operaciones,Supervisor_2,0,0.9591301148923245,3,2,18,15,0.8539123386504919,3,4.8,0,0.8865412898497408,1
PRACT_0067,2023-05-03,RRHH,Supervisor_5,0,0.9886840902831607,4,0,19,16,0.8765730430967078,3,4.5,0,0.9358894671633196,1
PRACT_0068,2021-01-22,Marketing,Supervisor_6,1,0.8110992844376967,15,7,14,7,0.5208918400370183,7,2.5,2,0.6804765122215358,-1
PRACT_0069,2024-02-10,TI,Supervisor_2,0,0.9745733733681359,2,1,16,13,0.8572372493368268,3,4.3,0,0.8667199161684555,1
PRACT_0070,2023-12-17,TI,Supervisor_5,1,0.5123049472169755,12,2,13,6,0.5077580207167545,7,2.8,4,0.621442018834837,-1
PRACT_0071,2023-12-26,RRHH,Supervisor_7,0,0.9575070419085415,4,0,18,16,0.9001877383499789,2,3.9,0,0.8821804117977177,1
PRACT_0072,2023-04-22,Operaciones,Supervisor_10,0,0.9786583470831507,1,2,20,16,0.8349993657501168,4,4.1,0,0.8046179245364402,0
PRACT_0073,2021-04-08,Operaciones,Supervisor_10,0,0.9017288044763363,3,2,8,7,0.8858642333875411,1,4.7,0,0.9337050276892227,1
PRACT_0074,2024-03-13,RRHH,Supervisor_8,1,0.6923896147798023,6,4,17,11,0.6850852150511456,6,2.2,1,0.8380422563921048,-1
PRACT_0075,2022-03-11,Operaciones,Supervisor_7,0,0.985776414578603,1,0,14,12,0.8911848848638835,2,4.8,0,0.8709254188886237,1
PRACT_0076,2022-09-29,TI,Supervisor_8,0,0.9474102075842267,4,1,13,11,0.859760612816655,2,4.0,0,0.8092066272283438,1
PRACT_0077,2024-01-15,TI,Supervisor_9,0,0.9004106202897448,2,1,16,14,0.9076993301490119,2,4.1,1,0.9973551194771115,1
PRACT_0078,2022-08-11,Marketing,Supervisor_5,0,0.9011013358335608,1,2,16,14,0.9259282468464914,2,4.8,0,0.8527396510902134,1
PRACT_0079,2021-12-10,RRHH,Supervisor_5,0,0.941663603741375,2,2,13,10,0.8431549992885379,3,4.2,1,0.8253242243381547,1
PRACT_0080,2024-08-10,Finanzas,Supervisor_10,0,0.9155008667416755,0,2,16,13,0.8710679416439094,3,4.3,0,0.8739505015946056,1
PRACT_0081,2022-07-25,Finanzas,Supervisor_4,1,0.7325577299826408,9,7,7,4,0.608740694447734,3,2.0,3,0.7954228162534227,0
PRACT_0082,2022-09-03,Marketing,Supervisor_9,0,0.9708799264906154,0,2,5,4,0.937622775252211,1,3.9,0,0.8587833193781131,0
PRACT_0083,2021-08-31,Marketing,Supervisor_5,0,0.9177879795460628,3,1,17,13,0.8056967621098543,4,4.5,1,0.9149406407838976,0
PRACT_0084,2022-07-15,Operaciones,Supervisor_2,0,0.9888533288524485,0,1,17,14,0.8288951393189211,3,3.7,1,0.8831119988874284,1
PRACT_0085,2023-08-18,Marketing,Supervisor_10,0,0.9441907844978926,4,1,5,4,0.9984497158311151,1,4.8,0,0.8235527984553237,1
PRACT_0086,2021-02-01,Marketing,Supervisor_8,0,0.9142845907591924,1,1,20,16,0.8073786577821537,4,4.7,1,0.8660574024984221,1
PRACT_0087,2022-01-26,Finanzas,Supervisor_7,0,0.9764251598069396,3,0,18,15,0.83446236745949,3,3.8,1,0.9449741011428133,0
PRACT_0088,2021-10-04,Operaciones,Supervisor_8,0,0.9789974500016773,0,1,15,13,0.923376814393279,2,4.5,0,0.9224007794662892,1
PRACT_0089,2022-06-16,Marketing,Supervisor_3,1,0.7237534154329102,7,1,6,3,0.5092855003884498,3,2.4,5,0.5479113519534244,-1
PRACT_0090,2024-03-23,Marketing,Supervisor_4,0,0.9853465553202553,0,1,17,14,0.8328482134446309,3,3.8,0,0.8326644819428618,0
PRACT_0091,2022-01-18,Operaciones,Supervisor_5,0,0.9737372972030671,0,2,14,11,0.8396712936498667,3,3.9,0,0.9281466718614891,1
PRACT_0092,2023-12-28,RRHH,Supervisor_6,0,0.988220573722699,3,2,18,15,0.8542355571422408,3,4.1,0,0.9626830828641738,1
PRACT_0093,2023-06-03,Operaciones,Supervisor_1,0,0.9433888048485479,1,2,17,16,0.9625809661505598,1,4.5,0,0.8698948991916339,1
PRACT_0094,2021-08-02,Finanzas,Supervisor_4,0,0.9747597128099442,3,0,10,8,0.8117592033089275,2,4.5,1,0.91906215036869,0
PRACT_0095,2022-01-11,RRHH,Supervisor_10,0,0.9999751563429045,2,1,13,10,0.8196237747801025,3,4.3,0,0.8341287177504211,0
PRACT_0096,2023-01-14,TI,Supervisor_5,0,0.972493119751962,4,1,18,16,0.9306977864116495,2,4.7,0,0.8622752673810647,0
PRACT_0097,2021-08-01,Operaciones,Supervisor_7,0,0.9114183780237133,2,0,13,10,0.8346436762373801,3,4.6,0,0.8040540411346105,0
PRACT_0098,2021-03-20,Finanzas,Supervisor_5,0,0.9518318722429183,1,0,9,8,0.954430500961493,1,4.4,0,0.9536551895599046,0
PRACT_0099,2022-09-20,RRHH,Supervisor_1,0,0.9587347791243028,3,0,14,13,0.9770238641815292,1,4.7,1,0.8802019639545934,1
PRACT_0100,2022-08-27,Operaciones,Supervisor_7,0,0.9174210675071391,0,0,11,9,0.8669713901997963,2,4.0,1,0.9632251147307908,0
PRACT_0101,2023-02-21,Marketing,Supervisor_8,0,0.9962891634178037,3,0,19,15,0.8234943880545719,4,4.8,1,0.9416745992045452,1
PRACT_0102,2024-11-05,Operaciones,Supervisor_7,0,0.9175579777634616,1,2,11,10,0.9802773713621314,1,4.4,0,0.9657488531456954,1
PRACT_0103,2023-09-28,TI,Supervisor_4,0,0.9177557919713223,0,1,18,16,0.9103310497580913,2,4.7,0,0.8571317339165766,0
PRACT_0104,2022-11-11,Operaciones,Supervisor_8,0,0.9915167137974555,2,0,7,6,0.8991018354661277,1,4.3,1,0.8370217460855691,1
PRACT_0105,2021-02-27,RRHH,Supervisor_5,1,0.6628219015925849,12,7,10,5,0.5670868389582207,5,1.8,2,0.8887622730606682,0
PRACT_0106,2023-11-16,RRHH,Supervisor_10,0,0.9063188279274517,4,0,11,9,0.8296770756434956,2,4.3,0,0.943465557408174,1
PRACT_0107,2023-05-31,Operaciones,Supervisor_9,0,0.9598187499938529,4,2,6,5,0.8764229729019037,1,4.1,0,0.9668084535853341,0
PRACT_0108,2022-03-23,RRHH,Supervisor_10,0,0.9601826348633048,3,0,8,7,0.9993467540588763,1,4.5,0,0.8026266747419868,1
PRACT_0109,2021-03-07,Marketing,Supervisor_5,0,0.9064500758686562,2,1,11,9,0.851176577208955,2,4.2,0,0.8708923240591774,0
PRACT_0110,2024-07-01,Operaciones,Supervisor_1,0,0.9972522495633662,1,0,6,5,0.9712535307048162,1,4.8,0,0.9485633381154663,1
PRACT_0111,2023-12-04,Marketing,Supervisor_9,0,0.9544029965294576,4,0,5,4,0.9073802541040844,1,4.5,1,0.8155965665979967,0
PRACT_0112,2024-01-26,Marketing,Supervisor_5,0,0.9559795722179765,2,1,6,5,0.8817687323450136,1,4.5,0,0.9134679859137872,1
PRACT_0113,2023-10-09,Finanzas,Supervisor_6,1,0.682040395075838,13,6,13,6,0.48061824083943727,7,1.8,2,0.6716291069820013,-1
PRACT_0114,2021-08-15,Operaciones,Supervisor_4,1,0.713756122875617,8,1,13,5,0.42278808608947505,8,3.0,1,0.5070466028564429,-1
PRACT_0115,2023-02-13,RRHH,Supervisor_6,0,0.9264299752773755,3,1,6,5,0.9037230063270668,1,4.8,0,0.8471951154238904,1
PRACT_0116,2022-11-10,Marketing,Supervisor_8,1,0.6005344717911942,7,2,9,4,0.49342169351346343,5,2.7,1,0.6139167956266857,-1
PRACT_0117,2024-12-30,Finanzas,Supervisor_3,1,0.6789686814286464,9,4,14,8,0.6259778615787456,6,2.0,4,0.544743978538529,-1
PRACT_0118,2022-08-24,Operaciones,Supervisor_5,0,0.9806685854763579,2,2,16,14,0.8986888558565478,2,4.3,1,0.9263073819485321,0
PRACT_0119,2022-01-14,Operaciones,Supervisor_2,1,0.5174526017729626,13,2,14,5,0.4056352978261546,9,1.7,3,0.5969591505007557,0
PRACT_0120,2024-04-16,TI,Supervisor_2,0,0.9603404212220246,2,1,9,7,0.8820986229082683,2,4.3,1,0.8555238999238777,1
PRACT_0121,2024-12-21,TI,Supervisor_7,1,0.7823723498772099,6,1,9,5,0.6466417627300308,4,1.7,2,0.8592954392800589,-1
PRACT_0122,2022-12-10,Marketing,Supervisor_10,1,0.5549210452130295,9,1,15,6,0.43811687960730233,9,2.3,4,0.6868492370772558,-1
PRACT_0123,2021-11-03,TI,Supervisor_10,0,0.9015022541980566,0,2,10,8,0.8259940873237626,2,4.5,1,0.8784256293938545,1
PRACT_0124,2023-02-18,Marketing,Supervisor_10,0,0.9312713295141458,3,0,11,9,0.8417674040903969,2,4.1,0,0.9447742076629435,0
PRACT_0125,2022-05-19,RRHH,Supervisor_6,0,0.9588143706729598,2,1,9,8,0.9397772170234135,1,4.2,1,0.9819227593765825,1
PRACT_0126,2021-09-25,Marketing,Supervisor_4,0,0.9138283173404748,1,1,6,5,0.8898702633459092,1,4.8,0,0.8050072672474888,1
PRACT_0127,2021-01-08,TI,Supervisor_5,1,0.6491428298403699,7,4,8,3,0.48233561506144357,5,1.7,2,0.6792955386221586,0
PRACT_0128,2022-05-23,RRHH,Supervisor_1,1,0.6933125240809973,8,2,8,4,0.5933188486845598,4,2.7,3,0.744312542431179,-1
PRACT_0129,2022-04-21,TI,Supervisor_7,0,0.9598883094757318,0,0,12,11,0.9858272467443536,1,3.8,1,0.863712619625198,1
PRACT_0130,2024-08-13,Marketing,Supervisor_8,0,0.9274411721000375,4,1,19,16,0.8644666623600947,3,3.6,0,0.9544815444246484,0
PRACT_0131,2021-06-13,Finanzas,Supervisor_9,0,0.9400029635986291,3,1,7,6,0.9183316131047341,1,3.8,0,0.9942954140540547,1
PRACT_0132,2022-04-30,Operaciones,Supervisor_8,0,0.9778339229067559,0,2,10,9,0.9969875737941727,1,4.6,0,0.9886854732500566,0
PRACT_0133,2024-01-01,TI,Supervisor_5,0,0.9941214694120686,3,2,5,4,0.8076614933679324,1,4.1,0,0.8531965078759884,1
PRACT_0134,2022-07-21,Marketing,Supervisor_3,0,0.9861880331118257,1,2,9,7,0.801118831176374,2,4.8,0,0.8452676556874972,1
PRACT_0135,2023-06-24,RRHH,Supervisor_10,1,0.6974992256067012,15,1,6,2,0.4181688530237901,4,2.3,3,0.8829962124084885,-1
PRACT_0136,2022-07-13,TI,Supervisor_9,0,0.9410292802943947,4,1,11,9,0.8228582571673714,2,3.5,0,0.8917256974862932,1
PRACT_0137,2021-08-26,TI,Supervisor_6,0,0.9332956614371418,0,1,8,6,0.8073368010789085,2,4.6,1,0.8416595446169384,1
PRACT_0138,2024-02-02,Operaciones,Supervisor_5,0,0.9124956566084018,4,1,20,18,0.9473500441826455,2,3.7,0,0.9413993927260836,0
PRACT_0139,2024-05-18,Marketing,Supervisor_3,0,0.9106551247216114,4,2,5,4,0.91662005692616,1,4.7,1,0.8568840647807583,1
PRACT_0140,2022-07-08,Finanzas,Supervisor_6,1,0.7409251687197802,9,6,13,7,0.5523682628593833,6,1.8,1,0.606898790028421,-1
PRACT_0141,2023-04-08,RRHH,Supervisor_3,1,0.5909280456599061,13,6,6,2,0.49979429060024383,4,2.0,1,0.851699617231114,-1
PRACT_0142,2022-04-13,Marketing,Supervisor_10,0,0.9254661686432447,0,1,19,18,0.9819436623815552,1,4.6,1,0.8324958306753807,1
PRACT_0143,2024-07-15,RRHH,Supervisor_6,0,0.9998195054477785,4,1,13,11,0.9034573535535854,2,4.9,0,0.8128785892932473,1
PRACT_0144,2022-01-21,TI,Supervisor_4,0,0.9187925957873796,2,1,11,9,0.8223600742467875,2,4.1,1,0.8538372880343374,0
PRACT_0145,2023-02-14,Operaciones,Supervisor_2,0,0.914805975948883,3,0,17,16,0.9737012941370782,1,4.7,1,0.9213890825676407,1
PRACT_0146,2023-04-28,Operaciones,Supervisor_8,0,0.9098685227759921,4,1,12,10,0.8863433770053223,2,3.8,1,0.8246175706806541,0
PRACT_0147,2022-01-22,Finanzas,Supervisor_4,0,0.9579805345166796,1,0,20,18,0.9324346024647145,2,4.7,0,0.8943189344553588,1
PRACT_0148,2023-05-27,Operaciones,Supervisor_9,0,0.9627863826002101,4,1,6,4,0.8104370115593522,2,4.5,1,0.9254674220850639,1
PRACT_0149,2021-09-16,TI,Supervisor_7,0,0.9365227926256882,0,0,19,18,0.9911723360749476,1,3.8,0,0.9697473985186348,0
PRACT_0150,2021-10-10,Finanzas,Supervisor_2,0,0.9535413335511468,3,1,15,12,0.801669947502754,3,4.0,1,0.8459739182404509,1
PRACT_0151,2021-02-09,Marketing,Supervisor_4,1,0.7759398358307193,14,6,19,13,0.6893528667974964,6,1.7,1,0.8269385293531157,-1
PRACT_0152,2022-05-01,Operaciones,Supervisor_5,0,0.9818104168321748,3,1,6,5,0.8442443028364599,1,4.1,1,0.8469812522262478,0
PRACT_0153,2023-07-18,Finanzas,Supervisor_3,0,0.9957912075715648,3,1,12,11,0.9737927545696587,1,3.8,0,0.9353533082479282,1
PRACT_0154,2021-08-08,TI,Supervisor_9,0,0.9824267985922874,1,2,18,14,0.8254841566718799,4,4.5,1,0.886134714296491,1
PRACT_0155,2024-02-27,RRHH,Supervisor_5,1,0.6976945028510992,9,2,20,8,0.44802884129723336,12,3.0,3,0.5458724969514681,-1
PRACT_0156,2023-10-12,RRHH,Supervisor_2,0,0.9179656965836847,4,0,10,9,0.935612075357535,1,3.5,0,0.9428526925643698,1
PRACT_0157,2023-10-21,TI,Supervisor_3,0,0.9099763557702842,4,2,18,15,0.8610507258200887,3,4.3,0,0.8435525237098036,0
PRACT_0158,2022-09-05,TI,Supervisor_9,0,0.9054511889910859,2,2,5,4,0.9429711948400818,1,4.4,1,0.8353246852049183,0
PRACT_0159,2023-07-17,RRHH,Supervisor_7,0,0.9666525831785384,4,1,16,15,0.9424383456506408,1,4.9,1,0.8716645857178766,1
PRACT_0160,2022-11-19,Finanzas,Supervisor_2,0,0.9807536255397993,1,0,9,8,0.9741620849551236,1,4.3,1,0.9306580489518967,1
PRACT_0161,2022-09-05,RRHH,Supervisor_9,0,0.9508683950684079,2,0,5,4,0.947868866591061,1,4.3,0,0.8467992957581256,1
PRACT_0162,2021-09-17,TI,Supervisor_4,0,0.905471417483364,4,2,20,17,0.8859712738222425,3,4.2,0,0.8367323077563772,0
PRACT_0163,2023-09-17,Operaciones,Supervisor_9,0,0.9535470574591338,2,0,16,14,0.884607235816437,2,3.9,1,0.8019907251426729,1
PRACT_0164,2023-08-24,Marketing,Supervisor_2,0,0.993574926152455,1,1,5,4,0.801130420968237,1,3.6,1,0.8943286194203447,1
PRACT_0165,2022-01-01,Operaciones,Supervisor_10,0,0.959761319093246,4,1,18,17,0.9465537669999805,1,4.1,0,0.8857291138630365,0
PRACT_0166,2022-06-28,Operaciones,Supervisor_4,1,0.7832996209619851,5,2,15,8,0.5410746956979928,7,1.6,3,0.5935470974549505,-1
PRACT_0167,2022-10-11,TI,Supervisor_5,0,0.9800152648391751,1,1,16,15,0.9518104020134217,1,4.3,0,0.8107304328019382,1
PRACT_0168,2023-03-25,RRHH,Supervisor_2,0,0.9932129099780653,3,1,15,13,0.8953590447800767,2,4.0,1,0.8858511749191674,0
PRACT_0169,2023-11-06,Finanzas,Supervisor_10,0,0.9770228765649873,3,2,14,13,0.9994409015701358,1,4.3,0,0.9576410222143262,0
PRACT_0170,2024-02-27,Operaciones,Supervisor_1,0,0.9747700514013089,1,1,5,4,0.8354270909586006,1,3.7,1,0.9430564262654354,1
PRACT_0171,2022-07-29,RRHH,Supervisor_7,0,0.923410266497064,3,1,18,15,0.8555638989410761,3,4.9,0,0.9721589779720341,1
PRACT_0172,2024-02-07,Finanzas,Supervisor_10,0,0.9059925155321081,1,2,18,17,0.9986341579196665,1,4.8,1,0.8019165375426311,1
PRACT_0173,2023-10-10,Operaciones,Supervisor_1,0,0.9517599465053808,0,2,8,7,0.9155899481695686,1,3.8,1,0.9932838633609197,1
PRACT_0174,2022-11-01,Finanzas,Supervisor_8,0,0.9124434207946756,1,2,17,16,0.9451937558656694,1,4.0,0,0.8682824505254897,1
PRACT_0175,2021-09-26,RRHH,Supervisor_3,0,0.9962195876277992,4,0,17,16,0.9430913910719634,1,4.4,0,0.998079559218393,1
PRACT_0176,2024-03-31,Marketing,Supervisor_10,0,0.9289924762633028,4,0,7,5,0.8210667788489929,2,3.6,0,0.850523892120355,0
PRACT_0177,2024-07-07,RRHH,Supervisor_6,0,0.9852944203384293,2,1,15,12,0.8600384368611329,3,4.0,0,0.894307277515649,0
PRACT_0178,2023-07-13,TI,Supervisor_7,0,0.938762462520246,3,1,18,15,0.8387855640561361,3,3.9,1,0.8707855353150608,0
PRACT_0179,2024-01-31,Finanzas,Supervisor_10,1,0.6131179874500821,12,2,20,11,0.5675418374848404,9,2.9,4,0.642304285997721,-1
PRACT_0180,2021-09-04,Marketing,Supervisor_1,0,0.9935158572376621,3,0,11,9,0.9031093988150285,2,4.8,1,0.9684564197496431,0
PRACT_0181,2021-05-11,Finanzas,Supervisor_6,0,0.9363322572086225,1,1,12,10,0.868573747905483,2,4.4,1,0.9492837879474678,0
PRACT_0182,2021-12-19,Finanzas,Supervisor_7,0,0.9390287908663136,3,1,19,18,0.9513245576179891,1,4.3,1,0.9984302870460096,0
